English,Bangla
a,একটি
ability,ক্ষমতা
able,সক্ষম
about,সম্পর্কিত
above,উপরে
absence,অনুপস্থিতি
accept,গ্রহণ করা
accident,দুর্ঘটনা
accommodate,মিটমাট করা
according,অনুযায়ী
account,হিসাব
achieve,অর্জন করা
across,দিয়ে
act,আইন
add,যোগ
addition,যোগ
address,ঠিকানা
adopt,অবলম্বন করা
advertise,বিজ্ঞাপিত করা
advice,পরামর্শ
affect,প্রভাবিত
after,পরে
afternoon,বিকেল
again,আবার
against,বিরুদ্ধে
age,বয়স
ago,পূর্বে
at,এ
ate,খেয়েছি
athlete,ক্রীড়াবিদ
athletic,ক্রীড়াবিষয়ক
attached,সংযুক্ত
attempt,প্রচেষ্টা
attend,স্বাগতম
attention,মনোযোগ
audience,শ্রোতা
August,অগাস্ট
aunt,মাসি
author,লেখক
automobile,মোটরগাড়ি
available,সহজলভ্য
average,গড়
avoid,এড়াতে
awful,"ভয়াবহ, আতঙ্কজনক"
agree,একমত
agreement,চুক্তি
ahead,এগিয়ে
air,বায়ু
alike,একইভাবে
alive,জীবিত
all,সব
all right,ঠিক আছে
allege,সপক্ষে যুক্তি দেখান
allow,অনুমতি
allowed,অনুমতি
almost,প্রায়
alone,একা
along,বরাবর
already,ইতিমধ্যে
altogether,পুরাপুরি
always,সর্বদা
am,টা
American,মার্কিন
among,মধ্যে
an,একটি
ancient,প্রাচীন
and,এবং
anger,রাগ
angle,কোণ
angry,ক্রুদ্ধ
animals,পশুদের
annual,বার্ষিক
another,অন্য
anyone,যে কেউ
anything,কিছু
anyway,যাহাই হউক না কেন
apart,পৃথক্
apartment,কামরা
appear,প্রদর্শিত
apple,আপেল
application,আবেদন
apply,প্রয়োগ করা
appreciate,তারিফ করা
April,এপ্রিল
are,হয়
area,এলাকায়
argument,যুক্তি
arm,হাত
army,সেনা
around,কাছাকাছি
arrange,ব্যবস্থা করা
arrangement,ব্যবস্থা
arrest,গ্রেফতার
arrive,পৌঁছা
art,শিল্প
article,প্রবন্ধ
as,যেমন
ask,জিজ্ঞাসা করা
assist,সাহায্য
associate,সহযোগী
association,সংঘ
assure,নিশ্চিত করা
babies,শিশুদের
baby,বাচ্চা
bad,খারাপ
bag,থলে
balance,ভারসাম্য
ball,বল
band,দল
bank,ব্যাংক
barbecue,কাবাব
base,ভিত্তি
baseball,বেসবল
basic,মৌলিক
build,বিল্ড
built,নির্মিত
burn,পোড়া
bus,বাস
busy,ব্যস্ত
but,কিন্তু
buy,কেনা
by,দ্বারা
bat,বাদুড়
be,থাকা
bear,ভালুক
beat,বীট
beautiful,সুন্দর
beauty,সৌন্দর্য
became,হয়ে ওঠে
because,কারণ
become,পরিণত
bed,বিছানা
been,হয়েছে
before,আগে
beg,প্রার্থনা করা
began,শুরু হয়
begin,শুরু করা
beginning,শুরুতে
begun,শুরু
behind,পিছনে
being,হচ্ছে
believe,বিশ্বাস করা
bell,ঘণ্টা
belong,অন্তর্গত
below,নিচে
beneath,তলদেশে
benefit,সুবিধা
beside,পাশে
best,সেরা
better,উত্তম
between,মধ্যে
beyond,তার পরেও
bicycle,সাইকেল
bill,বিল
bird,পাখি
bit,বিট
black,কালো
block,বাধা
blood,রক্ত
blow,ঘা
blue,নীল
board,তক্তা
bone,হাড়
born,জন্ম
both,উভয়
bottle,বোতল
bottom,পাদ
bought,কিনলেন
box,বক্স
boy,ছেলে
break,বিরতি
breath,শ্বাস
